"","Question","Response","Demographic","OctPoll","NovPoll","Difference"
"1","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Right track","Total",47,54,7
"2","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Right track","M",38,52,14
"3","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Right track","F",53,57,4
"4","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Right track","Dem",56,67,11
"5","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Right track","Rep",31,33,2
"6","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Right track","Ind/ Other",39,44,5
"7","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Right track","Perez Williams",56,64,8
"8","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Right track","Lavine",18,29,11
"9","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Right track","Nicoletti",53,50,-3
"10","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Right track","Walsh",39,58,19
"11","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Right track","Under 55",47,57,10
"12","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Right track","55+",46,52,6
"13","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Right track","Lib",60,72,12
"14","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Right track","Mod",47,52,5
"15","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Right track","Conserv",30,33,3
"16","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Right track","White",44,55,11
"17","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Right track","Afr Amer /Black",54,58,4
"18","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Right track","<$50K",51,59,8
"19","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Right track","$50K-$100K",43,51,8
"20","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Right track","$100K+",48,60,12
"21","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Right track","Less than college",49,54,5
"22","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Right track","College degree",45,56,11
"23","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Right track","Yes",56,59,3
"24","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Right track","No",44,53,9
"25","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Wrong direction","Total",35,30,-5
"26","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Wrong direction","M",42,34,-8
"27","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Wrong direction","F",29,27,-2
"28","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Wrong direction","Dem",26,20,-6
"29","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Wrong direction","Rep",56,53,-3
"30","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Wrong direction","Ind/ Other",38,34,-4
"31","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Wrong direction","Perez Williams",23,20,-3
"32","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Wrong direction","Lavine",75,63,-12
"33","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Wrong direction","Nicoletti",23,33,10
"34","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Wrong direction","Walsh",47,32,-15
"35","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Wrong direction","Under 55",33,30,-3
"36","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Wrong direction","55+",36,31,-5
"37","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Wrong direction","Lib",21,15,-6
"38","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Wrong direction","Mod",31,30,-1
"39","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Wrong direction","Conserv",57,55,-2
"40","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Wrong direction","White",39,33,-6
"41","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Wrong direction","Afr Amer /Black",23,22,-1
"42","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Wrong direction","<$50K",28,24,-4
"43","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Wrong direction","$50K-$100K",42,36,-6
"44","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Wrong direction","$100K+",37,29,-8
"45","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Wrong direction","Less than college",34,30,-4
"46","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Wrong direction","College degree",34,31,-3
"47","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Wrong direction","Yes",27,26,-1
"48","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Wrong direction","No",37,32,-5
"49","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","Total",19,15,-4
"50","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","M",20,14,-6
"51","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","F",18,17,-1
"52","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","Dem",18,13,-5
"53","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","Rep",13,14,1
"54","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","Ind/ Other",23,22,-1
"55","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","Perez Williams",21,15,-6
"56","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","Lavine",7,8,1
"57","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","Nicoletti",24,17,-7
"58","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","Walsh",14,11,-3
"59","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","Under 55",20,12,-8
"60","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","55+",17,18,1
"61","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","Lib",19,12,-7
"62","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","Mod",22,17,-5
"63","Q1. Is New York State on the right track, or is it headed in the wrong direction? ","Don't know/No opinion","Conserv",13,13,0
